date,demand
2024-01-10,250
2024-01-11,220
2024-01-12,219
2024-01-13,220
2024-01-14,226
2024-01-15,226
2024-01-16,234
2024-01-17,220
2024-01-18,238
2024-01-19,245
2024-01-20,243
2024-01-21,235
2024-01-22,230
2024-01-23,262
2024-01-24,239
2024-01-25,263
2024-01-26,269
2024-01-27,212
2024-01-28,256
2024-01-29,245
2024-01-30,229
2024-01-31,253
2024-02-01,254
2024-02-02,250
2024-02-03,257
2024-02-04,245
2024-02-05,246
2024-02-06,272
2024-02-07,254
2024-02-08,234
2024-02-09,214
2024-02-10,238
2024-02-11,226
2024-02-12,235
2024-02-13,256
2024-02-14,242
2024-02-15,241
2024-02-16,245
2024-02-17,277
2024-02-18,274
2024-02-19,254
2024-02-20,244
2024-02-21,257
2024-02-22,232
2024-02-23,230
2024-02-24,249
2024-02-25,240
2024-02-26,244
2024-02-27,250
2024-02-28,250
2024-02-29,259
2024-03-01,237
2024-03-02,250
2024-03-03,253
2024-03-04,262
2024-03-05,250
2024-03-06,233
2024-03-07,216
2024-03-08,243
2024-03-09,224
2024-03-10,244
2024-03-11,247
2024-03-12,231
2024-03-13,250
2024-03-14,253
2024-03-15,229
2024-03-16,241
2024-03-17,238
2024-03-18,212
2024-03-19,231
2024-03-20,247
2024-03-21,242
2024-03-22,253
2024-03-23,225
2024-03-24,235
2024-03-25,228
2024-03-26,234
2024-03-27,232
2024-03-28,243
2024-03-29,246
2024-03-30,246
2024-03-31,232
2024-04-01,244
2024-04-02,228
2024-04-03,240
2024-04-04,258
2024-04-05,260
2024-04-06,243
2024-04-07,219
2024-04-08,242
2024-04-09,263
2024-04-10,248
2024-04-11,243
2024-04-12,237
2024-04-13,231
2024-04-14,215
2024-04-15,228
2024-04-16,218
2024-04-17,239
2024-04-18,244
2024-04-19,227
2024-04-20,218
2024-04-21,217
2024-04-22,226
2024-04-23,238
2024-04-24,230
2024-04-25,187
2024-04-26,218
2024-04-27,254
2024-04-28,227
2024-04-29,227
2024-04-30,228
2024-05-01,211
2024-05-02,193
2024-05-03,234
2024-05-04,190
2024-05-05,228
2024-05-06,218
2024-05-07,219
2024-05-08,196
2024-05-09,222
2024-05-10,202
2024-05-11,201
2024-05-12,204
2024-05-13,212
2024-05-14,206
2024-05-15,216
2024-05-16,232
2024-05-17,224
2024-05-18,205
2024-05-19,230
2024-05-20,207
2024-05-21,204
2024-05-22,238
2024-05-23,217
2024-05-24,199
2024-05-25,228
2024-05-26,221
2024-05-27,227
2024-05-28,223
2024-05-29,196
2024-05-30,208
2024-05-31,234
2024-06-01,205
2024-06-02,208
2024-06-03,205
2024-06-04,203
2024-06-05,222
2024-06-06,219
2024-06-07,216
2024-06-08,216
2024-06-09,207
2024-06-10,226
2024-06-11,235
2024-06-12,228
2024-06-13,205
2024-06-14,224
2024-06-15,220
2024-06-16,214
2024-06-17,200
2024-06-18,211
2024-06-19,221
2024-06-20,213
2024-06-21,207
2024-06-22,218
2024-06-23,217
2024-06-24,208
2024-06-25,230
2024-06-26,232
2024-06-27,229
2024-06-28,205
2024-06-29,243
2024-06-30,240
2024-07-01,204
2024-07-02,223
2024-07-03,245
2024-07-04,244
2024-07-05,193
2024-07-06,220
2024-07-07,218
2024-07-08,224
2024-07-09,232
2024-07-10,251
2024-07-11,237
2024-07-12,238
2024-07-13,221
2024-07-14,246
2024-07-15,239
2024-07-16,233
2024-07-17,245
2024-07-18,232
2024-07-19,217
2024-07-20,223
2024-07-21,261
2024-07-22,245
2024-07-23,245
2024-07-24,282
2024-07-25,231
2024-07-26,240
2024-07-27,238
2024-07-28,231
2024-07-29,250
2024-07-30,244
2024-07-31,253
2024-08-01,210
2024-08-02,257
2024-08-03,260
2024-08-04,265
2024-08-05,246
2024-08-06,255
2024-08-07,239
2024-08-08,223
2024-08-09,282
2024-08-10,258
2024-08-11,256
2024-08-12,268
2024-08-13,237
2024-08-14,244
2024-08-15,281
2024-08-16,265
2024-08-17,289
2024-08-18,263
2024-08-19,285
2024-08-20,259
2024-08-21,263
2024-08-22,255
2024-08-23,268
2024-08-24,259
2024-08-25,245
2024-08-26,248
2024-08-27,272
2024-08-28,247
2024-08-29,257
2024-08-30,246
2024-08-31,267
2024-09-01,258
2024-09-02,282
2024-09-03,265
2024-09-04,274
2024-09-05,247
2024-09-06,272
2024-09-07,229
2024-09-08,276
2024-09-09,263
2024-09-10,277
2024-09-11,236
2024-09-12,260
2024-09-13,236
2024-09-14,257
2024-09-15,253
2024-09-16,246
2024-09-17,236
2024-09-18,270
2024-09-19,272
2024-09-20,258
2024-09-21,274
2024-09-22,262
2024-09-23,257
2024-09-24,253
2024-09-25,277
2024-09-26,250
2024-09-27,262
2024-09-28,257
2024-09-29,246
2024-09-30,265
2024-10-01,237
2024-10-02,261
2024-10-03,220
2024-10-04,237
2024-10-05,246
2024-10-06,256
2024-10-07,267
2024-10-08,241
2024-10-09,253
2024-10-10,243
2024-10-11,255
2024-10-12,267
2024-10-13,280
2024-10-14,263
2024-10-15,262
2024-10-16,231
2024-10-17,253
2024-10-18,238
2024-10-19,243
2024-10-20,264
2024-10-21,244
2024-10-22,238
2024-10-23,229
2024-10-24,242
2024-10-25,242
2024-10-26,264
2024-10-27,232
2024-10-28,254
2024-10-29,265
2024-10-30,235
2024-10-31,211
2024-11-01,234
2024-11-02,263
2024-11-03,237
2024-11-04,242
2024-11-05,257
2024-11-06,239
2024-11-07,203
2024-11-08,259
2024-11-09,219
2024-11-10,245
2024-11-11,244
2024-11-12,240
2024-11-13,211
2024-11-14,248
2024-11-15,229
2024-11-16,193
2024-11-17,221
2024-11-18,219
2024-11-19,238
2024-11-20,208
2024-11-21,204
2024-11-22,235
2024-11-23,252
2024-11-24,237
2024-11-25,220
2024-11-26,224
2024-11-27,227
2024-11-28,230
2024-11-29,244
2024-11-30,217
2024-12-01,250
2024-12-02,256
2024-12-03,233
2024-12-04,264
2024-12-05,235
2024-12-06,234
2024-12-07,261
2024-12-08,219
2024-12-09,260
2024-12-10,218
2024-12-11,235
2024-12-12,245
2024-12-13,228
2024-12-14,231
2024-12-15,215
2024-12-16,235
2024-12-17,248
2024-12-18,236
2024-12-19,252
2024-12-20,233
2024-12-21,245
2024-12-22,233
2024-12-23,261
2024-12-24,228
2024-12-25,239
2024-12-26,251
2024-12-27,214
2024-12-28,258
2024-12-29,247
2024-12-30,243
2024-12-31,246
